freq,imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.2 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.4 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.6 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.8 ))
78.10E3,-15.40E-15,-16.13E-15,-19.56E-15,-20.48E-15
79.10E3,-15.59E-15,-16.33E-15,-19.81E-15,-20.74E-15
80.10E3,-15.79E-15,-16.54E-15,-20.06E-15,-21.00E-15
81.10E3,-15.99E-15,-16.75E-15,-20.31E-15,-21.27E-15
82.10E3,-16.18E-15,-16.95E-15,-20.56E-15,-21.53E-15
83.10E3,-16.38E-15,-17.16E-15,-20.81E-15,-21.79E-15
84.10E3,-16.58E-15,-17.37E-15,-21.06E-15,-22.05E-15
85.10E3,-16.78E-15,-17.57E-15,-21.31E-15,-22.31E-15
86.10E3,-16.97E-15,-17.78E-15,-21.56E-15,-22.58E-15
87.10E3,-17.17E-15,-17.99E-15,-21.81E-15,-22.84E-15
88.10E3,-17.37E-15,-18.19E-15,-22.06E-15,-23.10E-15
89.10E3,-17.56E-15,-18.40E-15,-22.31E-15,-23.36E-15
90.10E3,-17.76E-15,-18.60E-15,-22.56E-15,-23.63E-15
91.10E3,-17.96E-15,-18.81E-15,-22.81E-15,-23.89E-15
92.10E3,-18.16E-15,-19.02E-15,-23.06E-15,-24.15E-15
93.10E3,-18.35E-15,-19.22E-15,-23.31E-15,-24.41E-15
94.10E3,-18.55E-15,-19.43E-15,-23.57E-15,-24.67E-15
95.10E3,-18.75E-15,-19.64E-15,-23.82E-15,-24.94E-15
96.10E3,-18.94E-15,-19.84E-15,-24.07E-15,-25.20E-15
97.10E3,-19.14E-15,-20.05E-15,-24.32E-15,-25.46E-15
98.10E3,-19.34E-15,-20.26E-15,-24.57E-15,-25.72E-15
99.10E3,-19.54E-15,-20.46E-15,-24.82E-15,-25.99E-15
100.1E3,-19.73E-15,-20.67E-15,-25.07E-15,-26.25E-15
101.1E3,-19.93E-15,-20.88E-15,-25.32E-15,-26.51E-15
102.1E3,-20.13E-15,-21.08E-15,-25.57E-15,-26.77E-15
103.1E3,-20.32E-15,-21.29E-15,-25.82E-15,-27.03E-15
104.1E3,-20.52E-15,-21.50E-15,-26.07E-15,-27.30E-15
105.1E3,-20.72E-15,-21.70E-15,-26.32E-15,-27.56E-15
106.1E3,-20.92E-15,-21.91E-15,-26.57E-15,-27.82E-15
107.1E3,-21.11E-15,-22.11E-15,-26.82E-15,-28.08E-15
108.1E3,-21.31E-15,-22.32E-15,-27.07E-15,-28.35E-15
109.1E3,-21.51E-15,-22.53E-15,-27.32E-15,-28.61E-15
110.1E3,-21.70E-15,-22.73E-15,-27.57E-15,-28.87E-15
111.1E3,-21.90E-15,-22.94E-15,-27.82E-15,-29.13E-15
112.1E3,-22.10E-15,-23.15E-15,-28.07E-15,-29.39E-15
113.1E3,-22.30E-15,-23.35E-15,-28.32E-15,-29.66E-15
114.1E3,-22.49E-15,-23.56E-15,-28.57E-15,-29.92E-15
115.1E3,-22.69E-15,-23.77E-15,-28.82E-15,-30.18E-15
116.1E3,-22.89E-15,-23.97E-15,-29.07E-15,-30.44E-15
117.1E3,-23.08E-15,-24.18E-15,-29.33E-15,-30.71E-15
118.1E3,-23.28E-15,-24.39E-15,-29.58E-15,-30.97E-15
119.1E3,-23.48E-15,-24.59E-15,-29.83E-15,-31.23E-15
120.1E3,-23.68E-15,-24.80E-15,-30.08E-15,-31.49E-15
121.1E3,-23.87E-15,-25.01E-15,-30.33E-15,-31.75E-15
122.1E3,-24.07E-15,-25.21E-15,-30.58E-15,-32.02E-15
