out X,out Y
0,0.01899048737141275
1e-09,0.01899048737638053
3e-09,0.01899048738435059
7.000000000000001e-09,0.0189904873961498
1.5e-08,0.01899048739983154
3.1e-08,0.01899048738893029
5.1e-08,0.01899048738847709
7.1e-08,0.01899048739033065
9.100000000000001e-08,0.01899048738922729
1.11e-07,0.01899048738959602
1.31e-07,0.01899048738955939
1.51e-07,0.01899048738951503
1.71e-07,0.01899048738955101
1.91e-07,0.01899048738953356
2.11e-07,0.01899048738953595
2.31e-07,0.01899048738953404
2.51e-07,0.01899048738954595
2.71e-07,0.01899048738953084
2.91e-07,0.01899048738954318
3.11e-07,0.01899048738953218
3.31e-07,0.01899048738954304
3.510000000000001e-07,0.01899048738953702
3.710000000000001e-07,0.01899048738954007
3.910000000000001e-07,0.01899048738953316
4.110000000000001e-07,0.01899048738954317
4.310000000000001e-07,0.01899048738953825
4.510000000000002e-07,0.0189904873895397
4.710000000000002e-07,0.01899048738953251
4.910000000000001e-07,0.01899048738954468
5.110000000000002e-07,0.01899048738953449
5.310000000000002e-07,0.01899048738954336
5.510000000000002e-07,0.01899048738953111
5.710000000000002e-07,0.01899048738953832
5.910000000000002e-07,0.01899048738954169
6.110000000000003e-07,0.01899048738953873
6.310000000000003e-07,0.01899048738953242
6.510000000000003e-07,0.01899048738954441
6.710000000000003e-07,0.01899048738952978
6.910000000000004e-07,0.01899048738954678
7.110000000000004e-07,0.01899048738952983
7.310000000000004e-07,0.01899048738955021
7.510000000000004e-07,0.018990487389525
7.710000000000004e-07,0.01899048738954907
7.910000000000005e-07,0.01899048738953328
8.110000000000005e-07,0.01899048738953544
8.310000000000005e-07,0.01899048738954288
8.510000000000005e-07,0.01899048738953078
8.710000000000005e-07,0.01899048738954015
8.910000000000006e-07,0.01899048738954111
9.110000000000006e-07,0.01899048738953883
9.310000000000006e-07,0.01899048738954069
9.510000000000006e-07,0.01899048738953722
9.710000000000005e-07,0.01899048738953859
9.855000000000001e-07,0.01899048738953641
1e-06,0.01899048738954378
