tplh X,tplh Y,tphl X,tphl Y
6.1,1.635398603608479e-12,6.1,5.787287441866097e-12
6.15,1.631652912193398e-12,6.15,5.825500760299736e-12
6.2,1.629837446909763e-12,6.2,5.860829373748729e-12
6.25,1.629130612824383e-12,6.25,5.900326273822195e-12
6.3,1.625488792047155e-12,6.3,5.938298050817804e-12
6.35,1.621422235896036e-12,6.35,5.979130372755006e-12
6.4,1.621857176071412e-12,6.4,6.017740457843793e-12
6.45,1.617314420770057e-12,6.45,6.057404513102501e-12
6.5,1.612789394887374e-12,6.5,6.095826521962847e-12
6.55,1.608511643591063e-12,6.55,6.136612731707384e-12
6.6,1.60391189133019e-12,6.6,6.175194931787309e-12
6.65,1.599419246901658e-12,6.65,6.213774635547957e-12
6.7,1.594927453549332e-12,6.7,6.25235682279886e-12
6.75,1.590469684147304e-12,6.75,6.290949630788518e-12
6.8,1.586142734834841e-12,6.8,6.329551660568076e-12
6.85,1.581686980411698e-12,6.85,6.368163476400564e-12
6.9,1.5774312596284e-12,6.9,6.406785610302135e-12
6.95,1.587114647682542e-12,6.95,6.445416042376873e-12
7,1.575048344659375e-12,7,6.484198515825841e-12
7.05,1.565357689916196e-12,7.05,6.523151659900979e-12
7.1,1.560280124040437e-12,7.1,6.562091664112154e-12
7.15,1.553797699268917e-12,7.15,6.601013861543153e-12
7.2,1.550028041102915e-12,7.2,6.639612101673798e-12
7.25,1.545434016723677e-12,7.25,6.678498225260696e-12
7.3,1.540844539323179e-12,7.3,6.71739353527076e-12
7.35,1.536258422691335e-12,7.35,6.756273898842268e-12
7.4,1.531709766931999e-12,7.4,6.795146911514556e-12
7.45,1.527127482502202e-12,7.45,6.833895505135681e-12
7.5,1.522546859269451e-12,7.5,6.872717052157275e-12
7.55,1.517970377074899e-12,7.55,6.911547677456304e-12
7.6,1.513392050433018e-12,7.6,6.950186368478907e-12
7.65,1.508800422548215e-12,7.65,6.989410567325746e-12
7.7,1.504157217874343e-12,7.7,7.029038590607617e-12
7.75,1.499539647746029e-12,7.75,7.067547977130123e-12
7.8,1.49488683969715e-12,7.8,7.106465337675849e-12
7.85,1.490214200926145e-12,7.85,7.145395716309963e-12
7.9,1.486038732074294e-12,7.9,7.184331582698339e-12
7.95,1.481498156003423e-12,7.95,7.223278661775639e-12
8,1.476973488223771e-12,8,7.262236747396696e-12
8.050000000000001,1.472448349910699e-12,8.050000000000001,7.301205033564688e-12
8.1,1.467923910459366e-12,8.1,7.340183987734775e-12
8.15,1.46339226050772e-12,8.15,7.379173785659321e-12
8.199999999999999,1.459379046646884e-12,8.199999999999999,7.418174382626441e-12
8.25,1.45425736377475e-12,8.25,7.457185891546368e-12
8.300000000000001,1.449115365598236e-12,8.300000000000001,7.496203673834758e-12
