trise X,trise Y,tfall X,tfall Y
2.12e-10,6.26222031186436e-12,2.12e-10,6.23433070101169e-12
2.13e-10,6.266140118736804e-12,2.13e-10,6.241848116246564e-12
2.14e-10,6.275353474847893e-12,2.14e-10,6.249377917391509e-12
2.15e-10,6.284602007628477e-12,2.15e-10,6.256924150197718e-12
2.16e-10,6.293379999180831e-12,2.16e-10,6.264492537892774e-12
2.17e-10,6.30255912923162e-12,2.17e-10,6.270925926142749e-12
2.18e-10,6.313235307450822e-12,2.18e-10,6.278331029067181e-12
2.19e-10,6.321814713697026e-12,2.19e-10,6.286301289425238e-12
2.2e-10,6.331721267119649e-12,2.2e-10,6.297662660558495e-12
2.21e-10,6.339778104263805e-12,2.21e-10,6.305766674670041e-12
2.22e-10,6.347034008434001e-12,2.22e-10,6.313791790752922e-12
2.23e-10,6.356722935474813e-12,2.23e-10,6.321522521652093e-12
2.24e-10,6.365750338849719e-12,2.24e-10,6.329103592758323e-12
2.25e-10,6.374837326208052e-12,2.25e-10,6.33664047965885e-12
2.26e-10,6.384169245352269e-12,2.26e-10,6.344324778927822e-12
2.27e-10,6.393886372601437e-12,2.27e-10,6.352108775943169e-12
2.28e-10,6.407113549644522e-12,2.28e-10,6.357194118836528e-12
2.29e-10,6.421090367852761e-12,2.29e-10,6.365168797734019e-12
2.3e-10,6.426734170767133e-12,2.3e-10,6.373239276054173e-12
2.31e-10,6.434555844645365e-12,2.31e-10,6.381512793755073e-12
2.32e-10,6.443792603509163e-12,2.32e-10,6.381695414215148e-12
2.33e-10,6.453304002979203e-12,2.33e-10,6.394311320255903e-12
2.34e-10,6.462925255885942e-12,2.34e-10,6.391824778793322e-12
2.35e-10,6.470162210876935e-12,2.35e-10,6.399689729426366e-12
2.36e-10,6.48133943013453e-12,2.36e-10,6.407729347367449e-12
2.37e-10,6.485277471032289e-12,2.37e-10,6.407933921229933e-12
2.38e-10,6.489927197442957e-12,2.38e-10,6.416259252277092e-12
2.39e-10,6.505183398778684e-12,2.39e-10,6.428079172541507e-12
2.4e-10,6.514258647259602e-12,2.4e-10,6.436431226999861e-12
