tfall X,tfall Y,trise X,trise Y
7.6,1.271912668143568e-11,7.6,6.370532720129195e-12
7.65,1.27875579927242e-11,7.65,6.392003137316805e-12
7.7,1.285814897123795e-11,7.7,6.413455416339407e-12
7.75,1.293469524758419e-11,7.75,6.435033230157888e-12
7.8,1.300408988305825e-11,7.8,6.456601739478263e-12
7.85,1.307392699178956e-11,7.85,6.478126052664241e-12
7.9,1.314378954698735e-11,7.9,6.499974396802031e-12
7.95,1.321367606942781e-11,7.95,6.520808344598785e-12
8,1.328358809525841e-11,8,6.539582408965477e-12
8.050000000000001,1.33535268695049e-11,8.050000000000001,6.561013242913799e-12
8.1,1.342349198159479e-11,8.1,6.580942417744129e-12
8.15,1.349348317459233e-11,8.15,6.603939766951926e-12
8.199999999999999,1.356349904258388e-11,8.199999999999999,6.630450499054758e-12
8.25,1.363353751785523e-11,8.25,6.652031175758574e-12
8.300000000000001,1.370340873097291e-11,8.300000000000001,6.67366808868706e-12
8.35,1.37738378167602e-11,8.35,6.695264925224411e-12
8.4,1.384383873302837e-11,8.4,6.716860825194785e-12
8.449999999999999,1.391382648739241e-11,8.449999999999999,6.738642816920625e-12
8.5,1.398351325795484e-11,8.5,6.760362784288325e-12
8.550000000000001,1.405359421468876e-11,8.550000000000001,6.782102436979652e-12
8.6,1.412384806424831e-11,8.6,6.80372277800631e-12
8.65,1.419409690227218e-11,8.65,6.825454175084399e-12
8.699999999999999,1.426434849940206e-11,8.699999999999999,6.847137480146372e-12
8.75,1.433459703930261e-11,8.75,6.868867387736876e-12
8.800000000000001,1.440485544968013e-11,8.800000000000001,6.890625222513194e-12
8.85,1.447512476053727e-11,8.85,6.91243136796586e-12
8.9,1.454539779254097e-11,8.9,6.934273823927647e-12
8.949999999999999,1.461624272888222e-11,8.949999999999999,6.956130939303364e-12
9,1.468653658768933e-11,9,6.97800255870217e-12
9.050000000000001,1.475658013041338e-11,9.050000000000001,6.999877434294148e-12
9.1,1.482652346342639e-11,9.1,7.022502981288188e-12
9.15,1.48964645278685e-11,9.15,7.044399518007404e-12
9.199999999999999,1.496514315648332e-11,9.199999999999999,7.0665950256065e-12
9.25,1.503539245739317e-11,9.25,7.088068535066556e-12
9.300000000000001,1.510560788782714e-11,9.300000000000001,7.109784677332728e-12
9.35,1.517585406899959e-11,9.35,7.131621435264174e-12
9.4,1.524611464088403e-11,9.4,7.15287148775804e-12
9.449999999999999,1.531638874884797e-11,9.449999999999999,7.17186514589938e-12
9.5,1.538667477528034e-11,9.5,7.194080400179052e-12
9.550000000000001,1.545697511863277e-11,9.550000000000001,7.215116590571699e-12
9.6,1.552725355651834e-11,9.6,7.236661510917848e-12
9.65,1.559754068685186e-11,9.65,7.264824093620278e-12
9.699999999999999,1.566781910793808e-11,9.699999999999999,7.286694976073949e-12
9.75,1.573812910025308e-11,9.75,7.308745099328408e-12
9.800000000000001,1.58084507492978e-11,9.800000000000001,7.330679816924607e-12
9.85,1.587877133294118e-11,9.85,7.352866379935189e-12
9.9,1.59496336498182e-11,9.9,7.372875394099277e-12
9.949999999999999,1.601960311305651e-11,9.949999999999999,7.39142033795956e-12
10,1.608978572176421e-11,10,7.416657182458195e-12
