1 X,1 Y,2 X,2 Y
0,1,0,0
9.765625e-16,0.7341777678333916,9.765625e-16,0.3565363694274672
1.052492746752149e-15,0.7568568540145089,1.052492746752149e-15,0.3677858983134066
1.175635138647445e-15,0.7848893134484352,1.175635138647445e-15,0.3805369970903248
1.29368561264386e-15,0.7963355065418501,1.29368561264386e-15,0.3853203126017142
1.411144163012681e-15,0.801857242670854,1.411144163012681e-15,0.3877168924674418
1.507727309727771e-15,0.8047513333558833,1.507727309727771e-15,0.3890975113830734
1.632279244550315e-15,0.8069784259911008,1.632279244550315e-15,0.3902701530003069
1.797311460523439e-15,0.8089378232379763,1.797311460523439e-15,0.3913787664148388
1.996824632864516e-15,0.8101322377425538,1.996824632864516e-15,0.3921294510076954
2.2586976085203e-15,0.8110923810594181,2.2586976085203e-15,0.3927037561117514
2.551924436658721e-15,0.8114972181506618,2.551924436658721e-15,0.3929386045184061
2.90347352432964e-15,0.8118446765664745,2.90347352432964e-15,0.3930589107048812
3.330837690275322e-15,0.8119409716262528,3.330837690275322e-15,0.39301989246588
3.896299605901249e-15,0.8121361116197381,3.896299605901249e-15,0.3929532321655791
4.680351498453082e-15,0.8122092753737029,4.680351498453082e-15,0.392776934565421
5.892984542395889e-15,0.8124797689192385,5.892984542395889e-15,0.3925530740376811
7.701234689089255e-15,0.8127529312503787,7.701234689089255e-15,0.3921758934800288
1.082988079259214e-14,0.8132782099338113,1.082988079259214e-14,0.3915406174749089
1.650222565982996e-14,0.8142227908496956,1.650222565982996e-14,0.3903865666836433
2.784691539430561e-14,0.8160773859499507,2.784691539430561e-14,0.3880670257186962
5.053629486325689e-14,0.81965606926698,5.053629486325689e-14,0.383388102621151
9.591505380115946e-14,0.8263042137107391,9.591505380115946e-14,0.3738879049361475
1.866725716769646e-13,0.8376905042462928,1.866725716769646e-13,0.354472641487711
3.681876074285749e-13,0.8536070330666135,3.681876074285749e-13,0.3150577485176864
6.628657021160264e-13,0.863758862237021,6.628657021160264e-13,0.2536049554795539
9.760853226002435e-13,0.860058285077792,9.760853226002435e-13,0.1966124290781968
1.293897622225386e-12,0.8486499093222687,1.293897622225386e-12,0.1504128084589339
1.625060300586236e-12,0.8336963637954513,1.625060300586236e-12,0.1142455993055163
1.973801426801769e-12,0.8172763748842068,1.973801426801769e-12,0.08702715812435392
2.358526845817768e-12,0.7996896728293766,2.358526845817768e-12,0.06667720276799774
2.818849017575632e-12,0.7799998736262954,2.818849017575632e-12,0.05174600780429664
3.282586499008049e-12,0.7617787176515304,3.282586499008049e-12,0.04412164416856434
3.723568760385141e-12,0.7458406230067453,3.723568760385141e-12,0.04171108759637027
4.191690809069256e-12,0.7301832716875053,4.191690809069256e-12,0.04255806712616677
4.709898840070474e-12,0.7141421528932158,4.709898840070474e-12,0.04605828067440251
5.273927140118733e-12,0.6980356812735292,5.273927140118733e-12,0.05172521091237509
5.746597807851017e-12,0.6855293803567862,5.746597807851017e-12,0.05741086554672838
6.276286128477094e-12,0.6725043131607783,6.276286128477094e-12,0.06442260723112997
6.830702372823515e-12,0.6599189460073499,6.830702372823515e-12,0.0722787074405605
7.316141341496618e-12,0.6497204160638539,7.316141341496618e-12,0.0794921531373543
7.83995384609387e-12,0.6395165114654323,7.83995384609387e-12,0.08757290630258284
8.40932745310756e-12,0.6292991441050497,8.40932745310756e-12,0.09668154959216903
8.895652618957995e-12,0.6212440740594077,8.895652618957995e-12,0.1047282823565292
9.444567095118473e-12,0.6128429979679328,9.444567095118473e-12,0.1141660599774744
1.000290718051425e-11,0.6049798326214602,1.000290718051425e-11,0.1240755133425683
1.04960919091005e-11,0.5985548594622734,1.04960919091005e-11,0.1330805083770712
1.107778341271202e-11,0.5915189225779375,1.107778341271202e-11,0.1440139847336018
1.158679398751818e-11,0.5857048896892741,1.158679398751818e-11,0.1538465039179068
1.210600677198077e-11,0.5797657943799109,1.210600677198077e-11,0.1641549945332518
1.269236213243708e-11,0.5719477295377982,1.269236213243708e-11,0.1763981805649477
1.318444591883647e-11,0.5627589098435599,1.318444591883647e-11,0.1877597102267035
1.37647564165619e-11,0.544525465555208,1.37647564165619e-11,0.2045281052680775
1.428469126692348e-11,0.5164179348337955,1.428469126692348e-11,0.2257512031838056
1.450786097371247e-11,0.4996797758188401,1.450786097371247e-11,0.2376250965887326
1.495420038729045e-11,0.4558163926375365,1.495420038729045e-11,0.2688977625184937
1.541746028264195e-11,0.3953447790500259,1.541746028264195e-11,0.3135515691691888
1.592657639986214e-11,0.314975742952652,1.592657639986214e-11,0.3776167017963595
1.641385072770316e-11,0.2345736060618286,1.641385072770316e-11,0.4531390408815559
1.668265590775193e-11,0.1938465653980246,1.668265590775193e-11,0.5001091968293064
1.717833560232663e-11,0.1334396313024823,1.717833560232663e-11,0.5905511326570877
1.770235063325112e-11,0.08937234937909304,1.770235063325112e-11,0.6811024519473123
1.824351915816257e-11,0.05978756067347675,1.824351915816257e-11,0.75916257984817
1.880945683355945e-11,0.03987984844979041,1.880945683355945e-11,0.8213017599241321
1.946658620560032e-11,0.02529269576727332,1.946658620560032e-11,0.8722335249302404
2.003739058565927e-11,0.01757586668068245,2.003739058565927e-11,0.9046344476984
2.052542383342145e-11,0.01329156103395195,2.052542383342145e-11,0.9269208442348228
