freq,imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))*1m)
67.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
68.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
69.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
70.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
71.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
72.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
73.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
74.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
75.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
76.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
77.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
78.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
79.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
80.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
81.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
82.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
83.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
84.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
85.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
86.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
87.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
88.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
89.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
90.10E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
